[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.vendors--95c789edf5/com.atlassian.auiplugin:split_aui.splitchunk.vendors--95c789edf5.js?locale=en-GB HTTP/1.1 200 66ms 400 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.vendors--894c8113d9/com.atlassian.auiplugin:split_aui.splitchunk.vendors--894c8113d9.js?locale=en-GB HTTP/1.1 200 80ms 17484 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/2.2.4.12/_/download/batch/com.atlassian.plugins.jquery:jquery-lib/com.atlassian.plugins.jquery:jquery-lib.js HTTP/1.1 200 6ms 87039 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.739b9ec8cc/com.atlassian.auiplugin:split_aui.splitchunk.739b9ec8cc.js?locale=en-GB HTTP/1.1 200 4ms 344 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.0d131bcbf1/com.atlassian.auiplugin:split_aui.splitchunk.0d131bcbf1.js?locale=en-GB HTTP/1.1 200 6ms 269 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.444efc83be/com.atlassian.auiplugin:split_aui.splitchunk.444efc83be.js?locale=en-GB HTTP/1.1 200 6ms 398 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.e54c7c7304/com.atlassian.auiplugin:split_aui.splitchunk.e54c7c7304.js?locale=en-GB HTTP/1.1 200 5ms 334 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.dd803a46b4/com.atlassian.auiplugin:split_aui.splitchunk.dd803a46b4.js?locale=en-GB HTTP/1.1 200 8ms 3423 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.9c48cc20a9/com.atlassian.auiplugin:split_aui.splitchunk.9c48cc20a9.js?locale=en-GB HTTP/1.1 200 10ms 337 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.ed86a19e01/com.atlassian.auiplugin:split_aui.splitchunk.ed86a19e01.js?locale=en-GB HTTP/1.1 200 7ms 2353 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.vendors--9c48cc20a9/com.atlassian.auiplugin:split_aui.splitchunk.vendors--9c48cc20a9.js?locale=en-GB HTTP/1.1 200 28ms 21167 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.86ad04cc86/com.atlassian.auiplugin:split_aui.splitchunk.86ad04cc86.js?locale=en-GB HTTP/1.1 200 9ms 1246 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.8659b532c1/com.atlassian.auiplugin:split_aui.splitchunk.8659b532c1.js?locale=en-GB HTTP/1.1 200 4ms 410 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.994e478d48/com.atlassian.auiplugin:split_aui.splitchunk.994e478d48.js?locale=en-GB HTTP/1.1 200 8ms 661 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
