[09/Apr/2024:14:10:16 +0300] admin http-nio-8090-exec-4 127.0.0.1 GET /rest/quickreload/latest/0?since=1712660986166 HTTP/1.1 200 7ms 118 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:21 +0300] - http-nio-8090-exec-7 127.0.0.1 GET / HTTP/1.1 302 178ms - - Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:21 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/vv2rty/9012/m4ydwl/af013634bcf8ad4512a73a1780b69964/_/download/contextbatch/css/main,-_super/batch.css HTTP/1.1 200 13ms 5975 http://localhost:8090/login.action?os_destination=%2Findex.action&permissionViolation=true Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:21 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /login.action?os_destination=%2Findex.action&permissionViolation=true HTTP/1.1 200 236ms 7716 - Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:21 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/64665544c4fc97283f5f92f98c7a4846-CDN/vv2rty/9012/m4ydwl/73c5e72ab2ef0f3a8a36df3d1a8a1af2/_/download/contextbatch/css/login,-_super/batch.css HTTP/1.1 200 16ms 791 http://localhost:8090/login.action?os_destination=%2Findex.action&permissionViolation=true Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:21 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/caaa129019f4b181b9df82851fd9cd77-CDN/vv2rty/9012/m4ydwl/af013634bcf8ad4512a73a1780b69964/_/download/contextbatch/js/main,-_super/batch.js?locale=en-US HTTP/1.1 200 15ms 3670 http://localhost:8090/login.action?os_destination=%2Findex.action&permissionViolation=true Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:21 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/vv2rty/9012/m4ydwl/8e414c4806ab214ca627b1e04c924ff9/_/download/contextbatch/css/atl.general,-_super/batch.css?hostenabled=true HTTP/1.1 200 36ms 11349 http://localhost:8090/login.action?os_destination=%2Findex.action&permissionViolation=true Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:21 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/16363bd950d520256b7a17a4773b24e0-CDN/vv2rty/9012/m4ydwl/1.0/_/download/batch/confluence.web.resources:login/confluence.web.resources:login.js?locale=en-US HTTP/1.1 200 16ms 740 http://localhost:8090/login.action?os_destination=%2Findex.action&permissionViolation=true Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:21 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/98b45bdeb6272f075aded8429c1ca590-CDN/vv2rty/9012/m4ydwl/f54e1e6a7a67c22db9843209075e4af4/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css HTTP/1.1 200 126ms 80191 http://localhost:8090/login.action?os_destination=%2Findex.action&permissionViolation=true Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:21 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/769fd10f3de417281b6d27b89cb64f7d-CDN/vv2rty/9012/m4ydwl/8e414c4806ab214ca627b1e04c924ff9/_/download/contextbatch/js/atl.general,-_super/batch.js?hostenabled=true&locale=en-US HTTP/1.1 200 137ms 51931 http://localhost:8090/login.action?os_destination=%2Findex.action&permissionViolation=true Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
